,平假日,xm_dist,細項分類,size_all2019,size_pos,size_neg,changes
72,假日,熱區_西門町,飲料及冰果店,43,9.0,12.0,-3.0
67,假日,熱區_西門町,連鎖速食店,6,0.0,3.0,-3.0
32,假日,熱區_中山,便利商店,50,21.0,24.0,-3.0
136,假日,西門町,量販店及超級市場,11,3.0,7.0,-4.0
152,假日,黃區,飲料及冰果店,14,1.0,5.0,-4.0
125,假日,西門町,咖啡館,10,1.0,5.0,-4.0
36,假日,熱區_中山,咖啡館,6,0.0,4.0,-4.0
129,假日,西門町,服飾相關,31,6.0,10.0,-4.0
98,假日,紫區,服飾相關,9,0.0,5.0,-5.0
120,假日,綠區,餐廳及飲食相關,27,7.0,12.0,-5.0
140,假日,西門町,飲料及冰果店,55,11.0,16.0,-5.0
61,假日,熱區_西門町,服飾相關,26,4.0,9.0,-5.0
57,假日,熱區_西門町,咖啡館,6,0.0,5.0,-5.0
15,假日,中山,連鎖速食店,14,3.0,8.0,-5.0
46,假日,熱區_中山,連鎖速食店,8,1.0,6.0,-5.0
153,假日,黃區,餐廳及飲食相關,16,3.0,9.0,-6.0
47,假日,熱區_中山,量販店及超級市場,10,0.0,8.0,-8.0
5,假日,中山,咖啡館,13,1.0,9.0,-8.0
73,假日,熱區_西門町,餐廳及飲食相關,75,21.0,31.0,-10.0
141,假日,西門町,餐廳及飲食相關,95,26.0,37.0,-11.0
16,假日,中山,量販店及超級市場,18,2.0,14.0,-12.0
