,平假日,xm_dist,細項分類,size_all2019,size_pos,size_neg,changes
209,平日,熱區_西門町,停車場,6,1.0,3.0,-2.0
237,平日,紅區,服飾相關,9,2.0,4.0,-2.0
216,平日,熱區_西門町,服飾相關,30,6.0,9.0,-3.0
159,平日,中山,咖啡館,12,3.0,6.0,-3.0
262,平日,紫區,餐廳及飲食相關,26,6.0,9.0,-3.0
169,平日,中山,連鎖速食店,14,4.0,7.0,-3.0
221,平日,熱區_西門町,通信服務及手機周邊相關,6,0.0,3.0,-3.0
275,平日,綠區,餐廳及飲食相關,28,8.0,11.0,-3.0
253,平日,紫區,服飾相關,11,1.0,4.0,-3.0
188,平日,熱區_中山,停車場,11,1.0,4.0,-3.0
198,平日,熱區_中山,美容美體服務或化妝品相關,21,5.0,8.0,-3.0
295,平日,西門町,飲料及冰果店,56,13.0,16.0,-3.0
212,平日,熱區_西門町,咖啡館,5,0.0,4.0,-4.0
284,平日,西門町,服飾相關,35,7.0,11.0,-4.0
289,平日,西門町,通信服務及手機周邊相關,7,0.0,4.0,-4.0
306,平日,黃區,飲料及冰果店,14,1.0,5.0,-4.0
291,平日,西門町,量販店及超級市場,10,2.0,7.0,-5.0
280,平日,西門町,咖啡館,8,0.0,5.0,-5.0
201,平日,熱區_中山,連鎖速食店,8,1.0,6.0,-5.0
202,平日,熱區_中山,量販店及超級市場,10,2.0,7.0,-5.0
296,平日,西門町,餐廳及飲食相關,97,28.0,36.0,-8.0
228,平日,熱區_西門町,餐廳及飲食相關,78,22.0,30.0,-8.0
170,平日,中山,量販店及超級市場,18,4.0,13.0,-9.0
