平假日,xm_dist,細項分類,size_all2019,size_pos,size_neg
平日,紫區,美容美體服務或化妝品相關,2,1.0,0.0
平日,紫區,診所或醫療用品相關,4,3.0,0.0
平日,紫區,通信服務及手機周邊相關,3,0.0,2.0
平日,紫區,連鎖速食店,1,0.0,0.0
平日,紫區,量販店及超級市場,3,1.0,1.0
平日,紫區,金（銀）飾,1,1.0,0.0
平日,紫區,飲料及冰果店,13,3.0,2.0
平日,紫區,餐廳及飲食相關,26,6.0,9.0
平日,綠區,便利商店,9,4.0,3.0
平日,綠區,停車場,1,0.0,1.0
平日,綠區,其他批發零售或服務,12,6.0,3.0
平日,綠區,文具書籍、出版、教育休閒及玩具娛樂用品店,3,1.0,2.0
平日,綠區,旅館,5,1.0,0.0
平日,綠區,服飾相關,8,3.0,1.0
平日,綠區,網路購物,1,0.0,1.0
平日,綠區,美容美體服務或化妝品相關,6,3.0,0.0
平日,綠區,診所或醫療用品相關,3,2.0,1.0
平日,綠區,連鎖速食店,1,0.0,0.0
平日,綠區,電腦及網路軟硬體相關,1,1.0,0.0
平日,綠區,飲料及冰果店,15,4.0,2.0
平日,綠區,餐廳及飲食相關,28,8.0,11.0
平日,西門町,便利商店,56,29.0,23.0
平日,西門町,停車場,13,7.0,4.0
平日,西門町,健康俱樂部,1,0.0,1.0
平日,西門町,其他批發零售或服務,40,20.0,7.0
平日,西門町,咖啡館,8,0.0,5.0
平日,西門町,家用電器或家具,5,1.0,0.0
平日,西門町,文具書籍、出版、教育休閒及玩具娛樂用品店,12,6.0,4.0
平日,西門町,旅館,36,7.0,7.0
平日,西門町,服飾相關,35,7.0,11.0
平日,西門町,百貨公司,5,2.0,2.0
平日,西門町,網路購物,3,0.0,1.0
平日,西門町,美容美體服務或化妝品相關,14,6.0,2.0
平日,西門町,診所或醫療用品相關,13,6.0,2.0
平日,西門町,通信服務及手機周邊相關,7,0.0,4.0
平日,西門町,連鎖速食店,7,2.0,2.0
平日,西門町,量販店及超級市場,10,2.0,7.0
平日,西門町,金（銀）飾,1,1.0,0.0
平日,西門町,電影,3,1.0,1.0
平日,西門町,電腦及網路軟硬體相關,2,1.0,0.0
平日,西門町,飲料及冰果店,56,13.0,16.0
平日,西門町,餐廳及飲食相關,97,28.0,36.0
平日,黃區,便利商店,4,2.0,1.0
平日,黃區,其他批發零售或服務,8,3.0,3.0
平日,黃區,文具書籍、出版、教育休閒及玩具娛樂用品店,1,1.0,0.0
平日,黃區,旅館,7,2.0,0.0
平日,黃區,服飾相關,6,2.0,0.0
平日,黃區,美容美體服務或化妝品相關,3,3.0,0.0
平日,黃區,診所或醫療用品相關,1,0.0,1.0
平日,黃區,通信服務及手機周邊相關,1,0.0,0.0
平日,黃區,連鎖速食店,2,0.0,1.0
平日,黃區,飲料及冰果店,14,1.0,5.0
平日,黃區,餐廳及飲食相關,17,5.0,7.0
